coach_id,coach_name,seasons,coach_career_span,g,wins,losses,ties,win_loss_perc,wins_over_500,years_playoffs,g_playoffs,wins_playoffs,losses_playoffs,win_loss_playoffs_perc,rank_avg,rank_best,championships,championships_super_bowl,championships_conference
203,Tut Imlay,1,1926,10,6,3,1,.667,3,0,0,0,0,,6.0,6,0,0,0
204,Lindy Infante,6,1988-1997,96,36,60,0,.375,-24,1,1,0,1,.000,3.8,2,0,0,0
205,Cecil Isbell,4,1947-1951,34,10,23,1,.303,-13,1,1,0,1,.000,4.3,1,0,0,0
206,Pop Ivy,6,1958-1963,76,32,42,2,.432,-10,1,1,0,1,.000,3.8,1,0,0,0
207,Hue Jackson,1,2011,16,8,8,0,.500,0,0,0,0,0,,3.0,3,,,
208,Dick Jauron,10,1999-2009,142,60,82,0,.423,-22,1,1,0,1,.000,3.3,1,0,0,0
209,Herb Joesting,1,1929,10,1,9,0,.100,-8,0,0,0,0,,11.0,11,0,0,0
210,Bill Johnson,3,1976-1978,33,18,15,0,.545,3,0,0,0,0,,2.7,2,0,0,0
211,Harvey Johnson,2,1968-1971,26,2,23,1,.080,-21,0,0,0,0,,5.0,5,0,0,0
212,Jimmy Johnson,9,1989-1999,144,80,64,0,.556,16,6,13,9,4,.692,2.7,1,2,2,2
213,Luke Johnsos,4,1942-1945,36,23,11,2,.676,12,2,2,1,1,.500,2.0,1,1,0,0
214,Al Jolley,2,1929-1933,12,1,10,1,.091,-9,0,0,0,0,,7.0,4,0,0,0
215,June Jones,4,1994-1998,58,22,36,0,.379,-14,1,1,0,1,.000,3.5,2,0,0,0
216,Ralph Jones,3,1930-1932,41,24,10,7,.706,14,0,0,0,0,,2.3,1,1,0,0
217,Bull Karcis,1,1942,8,0,8,0,.000,-8,0,0,0,0,,5.0,5,0,0,0
218,Chip Kelly,2,2013-2014,32,20,12,0,.625,8,1,1,0,1,.000,1.5,1,,,
219,Jim Kendrick,2,1923-1926,13,4,7,2,.364,-3,0,0,0,0,,14.0,9,0,0,0
220,Jack Keogh,1,1926,10,3,7,0,.300,-4,0,0,0,0,,13.0,13,0,0,0
221,Ed Khayat,2,1971-1972,25,8,15,2,.354,-7,0,0,0,0,,4.0,3,0,0,0
222,Walt Kiesling,9,1939-1956,90,30,55,5,.353,-25,0,0,0,0,,4.1,2,0,0,0
223,Lane Kiffin,2,2007-2008,20,5,15,0,.250,-10,0,0,0,0,,3.5,3,,,
224,Chuck Knox,22,1973-1994,334,186,147,1,.558,39,11,18,7,11,.389,2.6,1,0,0,0
225,Herb Kopf,3,1944-1946,31,7,22,2,.241,-15,0,0,0,0,,4.0,3,0,0,0
226,Walt Koppisch,1,1925,9,1,6,2,.143,-5,0,0,0,0,,15.0,15,0,0,0
227,Rich Kotite,6,1991-1996,96,40,56,0,.417,-16,1,2,1,1,.500,3.7,2,0,0,0
228,Ollie Kraehe,1,1923,7,1,4,2,.200,-3,0,0,0,0,,14.0,14,0,0,0
229,Aaron Kromer,1,2012,6,2,4,0,.333,-2,0,0,0,0,,3.0,3,,,
230,Ed Kubale,1,1944,5,0,5,0,.000,-5,0,0,0,0,,5.0,5,0,0,0
231,Gary Kubiak,8,2006-2013,125,61,64,0,.488,-3,2,4,2,2,.500,2.8,1,,,
232,Joe Kuharich,11,1952-1968,142,58,81,3,.417,-23,0,0,0,0,,3.5,2,0,0,0
233,Hank Kuhlmann,1,1989,5,0,5,0,.000,-5,0,0,0,0,,4.0,4,0,0,0
